MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
0;40;1295.35;0;TECNICO;FAMILIAR
1;40;2550;2;TECNICO;PROPIA
1;40;1065.79;0;TECNICO;PROPIA
1;40;4920;0;PROFESIONAL;FAMILIAR
0;41;3500;0;EDUCACION BASICA;FAMILIAR
0;41;5600;0;TECNICO;PROPIA
0;41;3400;0;PROFESIONAL;FAMILIAR
1;41;1354.82;2;TECNICO;FAMILIAR
1;41;2500;0;PROFESIONAL;FAMILIAR
1;41;2790.75;0;TECNICO;FAMILIAR
1;41;1646.71;0;TECNICO;FAMILIAR
1;41;3500;0;PROFESIONAL;PROPIA
1;41;1593.36;0;TECNICO;PROPIA
0;42;1785;0;TECNICO;PROPIA
0;42;1337.01;0;TECNICO;FAMILIAR
0;42;4000;0;PROFESIONAL;PROPIA
0;42;30000;3;PROFESIONAL;PROPIA
1;42;2950;2;TECNICO;FAMILIAR
1;42;3000;0;TECNICO;FAMILIAR
0;43;4000;0;PROFESIONAL;PROPIA
0;43;5300;1;PROFESIONAL;FAMILIAR
0;43;4500;1;TECNICO;PROPIA
0;43;2835.39;1;PROFESIONAL;PROPIA
1;43;2000;0;PROFESIONAL;FAMILIAR
1;43;3100;4;PROFESIONAL;FAMILIAR
0;44;2100;0;TECNICO;PROPIA
0;44;5000;0;PROFESIONAL;PROPIA
0;45;2500;0;TECNICO;FAMILIAR
0;45;3300;0;PROFESIONAL;FAMILIAR
0;45;4760;1;PROFESIONAL;PROPIA
0;45;4500;0;SUPERIOR;PROPIA
0;45;6500;0;PROFESIONAL;FAMILIAR
1;45;4500;2;TECNICO;PROPIA
1;45;2850;1;TECNICO;FAMILIAR
1;45;2322.38;0;PROFESIONAL;OTRAS
0;46;3080;0;PROFESIONAL;FAMILIAR
0;46;2874.88;1;TECNICO;PROPIA
0;46;6000;0;PROFESIONAL;FAMILIAR
1;46;2860.12;2;TECNICO;PROPIA
0;47;4200;0;SUPERIOR;PROPIA
1;47;9250;1;PROFESIONAL;PROPIA
1;47;3002.32;0;PROFESIONAL;FAMILIAR
0;48;23663;1;PROFESIONAL;PROPIA
1;48;5920;0;PROFESIONAL;PROPIA
1;48;5920;0;PROFESIONAL;PROPIA
0;49;3500;0;TECNICO;PROPIA
0;49;3400;1;PROFESIONAL;FAMILIAR
1;49;3682.68;2;PROFESIONAL;FAMILIAR
1;49;17669;0;PROFESIONAL;PROPIA
0;50;5000;0;PROFESIONAL;FAMILIAR
0;50;3160;1;PROFESIONAL;FAMILIAR
1;50;3000;0;PROFESIONAL;PROPIA
1;50;1450;2;PROFESIONAL;FAMILIAR
1;50;5700;1;PROFESIONAL;PROPIA
1;50;2100;0;PROFESIONAL;FAMILIAR
1;50;2100;0;SUPERIOR;FAMILIAR
1;50;1400;0;TECNICO;PROPIA
0;51;6200;0;PROFESIONAL;PROPIA
0;51;5600;0;TECNICO;PROPIA
0;51;2600;1;TECNICO;PROPIA
1;51;11375;0;PROFESIONAL;PROPIA
0;52;3100;1;TECNICO;PROPIA
1;52;5500;1;PROFESIONAL;PROPIA
1;53;1800;0;PROFESIONAL;FAMILIAR
1;53;1407.79;0;PROFESIONAL;PROPIA
1;53;2250;1;TECNICO;PROPIA
1;54;2200;0;PROFESIONAL;PROPIA
0;55;2200;2;PROFESIONAL;FAMILIAR
0;55;3200;0;TECNICO;FAMILIAR
0;56;5800;0;TECNICO;PROPIA
0;56;5600;0;TECNICO;PROPIA
0;56;3500;0;PROFESIONAL;FAMILIAR
1;56;3000;0;PROFESIONAL;FAMILIAR
1;56;1880;0;TECNICO;PROPIA
0;57;5900;1;PROFESIONAL;PROPIA
0;58;11364;0;PROFESIONAL;PROPIA
0;58;1130;0;TECNICO;PROPIA
0;58;3500;1;PROFESIONAL;PROPIA
0;58;3143.45;0;PROFESIONAL;PROPIA
1;58;2200;1;PROFESIONAL;FAMILIAR
1;59;3134.09;1;PROFESIONAL;FAMILIAR
1;59;2800;2;PROFESIONAL;FAMILIAR
0;60;857.36;1;PROFESIONAL;FAMILIAR
1;62;10000;1;PROFESIONAL;FAMILIAR
0;63;6000;0;PROFESIONAL;PROPIA
0;63;11961;0;PROFESIONAL;PROPIA
0;65;20000;0;PROFESIONAL;PROPIA
1;65;3057;0;TECNICO;FAMILIAR
1;23;1100;1;SUPERIOR;FAMILIAR
0;26;664.37;0;TECNICO;PROPIA
1;30;2001;0;PROFESIONAL;FAMILIAR
0;32;915.94;0;PROFESIONAL;FAMILIAR
1;32;2170;0;SUPERIOR;FAMILIAR
1;32;9000;4;SUPERIOR;FAMILIAR
1;33;3200;0;SIN EDUCACION;FAMILIAR
1;34;2200;0;PROFESIONAL;FAMILIAR
1;35;4804;0;PROFESIONAL;FAMILIAR
1;37;2200;0;PROFESIONAL;PROPIA
1;37;2100;1;TECNICO;FAMILIAR
1;38;2650;0;PROFESIONAL;ALQUILADA
0;39;2800;0;PROFESIONAL;FAMILIAR
0;39;10000;0;PROFESIONAL;FAMILIAR
0;45;3000;0;PROFESIONAL;FAMILIAR
0;53;4176.74;0;PROFESIONAL;FAMILIAR
1;23;2100;0;TECNICO;FAMILIAR
1;23;1350;0;TECNICO;FAMILIAR
0;25;5200;1;PROFESIONAL;FAMILIAR
0;26;7528;0;PROFESIONAL;FAMILIAR
1;26;960.84;0;TECNICO;PROPIA
1;26;6000;0;TECNICO;FAMILIAR
1;26;1600;0;TECNICO;FAMILIAR
1;26;5145;0;PROFESIONAL;FAMILIAR
0;27;1322.93;0;PROFESIONAL;PROPIA
0;27;1533.41;0;PROFESIONAL;FAMILIAR
1;27;3500;0;PROFESIONAL;ALQUILADA
1;27;2400;1;PROFESIONAL;FAMILIAR
0;28;8500;1;PROFESIONAL;PROPIA
0;29;5384;0;TECNICO;FAMILIAR
0;29;10500;0;PROFESIONAL;FAMILIAR
1;29;2355.01;0;PROFESIONAL;FAMILIAR
1;29;8300;0;TECNICO;FAMILIAR
1;29;2500;0;PROFESIONAL;FAMILIAR
